employee_id,company_id,country,industry,company_size,employment_type,role,years_experience,years_at_company,remote_ratio,total_comp_usd
E000001,C009,IN,Gaming,Large,Full-time,Software Engineer,7,3,50,32304.52
E000002,C078,DE,E-commerce,Mid,Full-time,Data Scientist,12,1,100,107091.3
E000003,C066,FR,Gaming,Startup,Contract,Software Engineer,8,5,0,52604.35
E000004,C044,DE,FinTech,Mid,Full-time,Data Scientist,2,1,100,91472.83
E000005,C044,AE,HealthTech,Large,Full-time,DevOps Engineer,8,0,100,120562.13
E000006,C086,UK,Cloud,Mid,Full-time,Senior Software Engineer,2,2,100,220155.7
E000007,C009,US,HealthTech,Large,Full-time,Engineering Manager,9,0,75,514572.0
E000008,C070,IN,Telecom,Enterprise,Full-time,DevOps Engineer,8,4,0,45670.96
E000009,C021,DE,Telecom,Enterprise,Full-time,QA Engineer,5,5,100,90084.78
E000010,C010,DE,Consulting,Mid,Contract,Software Engineer,9,8,100,110176.09
E000011,C053,SG,Cloud,Large,Full-time,Engineering Manager,6,6,75,169681.48
E000012,C098,DE,Cybersecurity,Mid,Full-time,Software Engineer,16,2,100,95297.83
E000013,C074,DE,E-commerce,Enterprise,Full-time,Software Engineer,9,3,75,115269.57
E000014,C077,US,Gaming,Startup,Full-time,Senior Software Engineer,2,1,50,184145.0
E000015,C072,IN,FinTech,Enterprise,Full-time,Senior Software Engineer,7,0,0,41320.82
E000016,C079,US,EdTech,Large,Full-time,Product Manager,6,1,100,213608.0
E000017,C052,IN,E-commerce,Enterprise,Full-time,Data Scientist,1,1,100,51623.81
E000018,C013,IN,Gaming,Enterprise,Full-time,ML Engineer,9,8,50,47809.22
E000019,C084,CA,EdTech,Enterprise,Full-time,QA Engineer,20,2,100,115186.03
E000020,C046,US,Gaming,Startup,Full-time,Software Engineer,17,1,100,156456.0
E000021,C051,UK,E-commerce,Enterprise,Full-time,Engineering Manager,4,3,100,243673.42
E000022,C038,NL,Consulting,Enterprise,Full-time,Product Manager,5,4,100,115591.3
E000023,C019,IN,HealthTech,Mid,Full-time,Security Engineer,17,3,0,54886.11
E000024,C093,IN,Consulting,Mid,Full-time,Data Engineer,7,4,100,54255.37
E000025,C079,CA,Consulting,Startup,Full-time,Security Engineer,7,6,0,165897.06
E000026,C065,NL,Consulting,Mid,Full-time,QA Engineer,7,3,100,83952.17
E000027,C041,NL,Cybersecurity,Enterprise,Full-time,Data Scientist,10,8,100,120520.65
E000028,C083,SG,AI,Large,Full-time,Software Engineer,1,1,25,107849.63
E000029,C055,IN,Telecom,Mid,Full-time,Senior Software Engineer,8,5,0,56522.67
E000030,C045,IN,E-commerce,Mid,Full-time,Software Engineer,16,9,100,42302.31
E000031,C046,DE,Consulting,Large,Full-time,Product Manager,20,1,75,212719.57
E000032,C023,UK,EdTech,Mid,Contract,Senior Software Engineer,6,6,50,140853.16
E000033,C010,US,FinTech,Mid,Full-time,QA Engineer,6,1,100,112333.0
E000034,C056,IN,Gaming,Startup,Full-time,DevOps Engineer,17,10,100,53925.43
E000035,C089,IN,HealthTech,Large,Full-time,Software Engineer,14,2,100,47238.1
E000036,C007,IN,FinTech,Large,Full-time,QA Engineer,9,3,75,57552.69
E000037,C086,US,Cybersecurity,Large,Full-time,Senior Software Engineer,13,10,0,411530.0
E000038,C083,NL,AI,Large,Full-time,Senior Software Engineer,14,6,100,210590.22
E000039,C028,ES,Cybersecurity,Startup,Full-time,Software Engineer,13,2,0,55316.3
E000040,C064,AE,E-commerce,Enterprise,Full-time,Software Engineer,12,9,0,177848.5
E000041,C017,AE,Gaming,Mid,Full-time,Engineering Manager,14,6,100,236457.77
E000042,C076,US,HealthTech,Enterprise,Full-time,Senior Software Engineer,6,6,100,185454.0
E000043,C071,SG,Cloud,Startup,Full-time,Product Manager,20,6,0,129080.74
E000044,C036,IN,HealthTech,Large,Full-time,Product Manager,0,0,100,52459.93
E000045,C007,US,Gaming,Large,Full-time,Data Scientist,4,2,75,229042.0
E000046,C098,UK,AI,Large,Full-time,Software Engineer,3,0,75,139449.37
E000047,C045,SG,HealthTech,Large,Full-time,Engineering Manager,4,4,50,146187.41
E000048,C090,IN,Cybersecurity,Startup,Full-time,Senior Software Engineer,15,10,75,52590.3
E000049,C068,US,AI,Mid,Full-time,Senior Software Engineer,17,2,0,366991.0
E000050,C078,US,Consulting,Mid,Full-time,Data Scientist,6,6,0,176991.0
E000051,C076,CA,Cloud,Startup,Full-time,Security Engineer,1,0,75,136691.91
E000052,C020,DE,Cloud,Large,Full-time,DevOps Engineer,0,0,0,80983.7
E000053,C037,SG,Telecom,Large,Full-time,Data Engineer,2,2,50,112230.37
E000054,C047,IN,Consulting,Enterprise,Full-time,ML Engineer,5,2,100,40054.14
E000055,C050,FR,HealthTech,Mid,Full-time,Senior Software Engineer,16,7,0,116281.52
E000056,C005,US,Consulting,Enterprise,Full-time,Software Engineer,7,2,100,223757.0
E000057,C055,DE,AI,Enterprise,Full-time,Senior Software Engineer,13,6,0,208009.78
E000058,C016,CA,EdTech,Large,Full-time,Senior Software Engineer,6,6,0,157764.71
E000059,C075,NL,E-commerce,Large,Full-time,Product Manager,0,0,100,100877.17
E000060,C069,ES,Cybersecurity,Mid,Full-time,Senior Software Engineer,1,1,100,94684.78
E000061,C093,IN,Telecom,Enterprise,Full-time,Software Engineer,6,6,0,34240.7
E000062,C075,DE,E-commerce,Large,Full-time,Security Engineer,3,3,100,138315.22
E000063,C037,UK,Cybersecurity,Large,Full-time,Engineering Manager,15,0,50,328973.42
E000064,C097,US,Consulting,Enterprise,Full-time,Data Engineer,1,1,75,151352.0
E000065,C042,US,HealthTech,Large,Full-time,Software Engineer,4,4,50,173043.0
E000066,C033,US,Cybersecurity,Enterprise,Full-time,ML Engineer,5,5,100,198062.0
E000067,C091,DE,Telecom,Startup,Full-time,Software Engineer,15,2,100,99059.78
E000068,C038,ES,Telecom,Large,Full-time,DevOps Engineer,10,1,100,69430.43
E000069,C008,US,Telecom,Startup,Full-time,Senior Software Engineer,13,4,0,261864.0
E000070,C047,AE,Gaming,Large,Full-time,QA Engineer,12,9,0,121826.43
E000071,C080,US,AI,Mid,Full-time,ML Engineer,16,9,75,199449.0
E000072,C019,CA,E-commerce,Startup,Full-time,Data Scientist,8,6,0,127958.82
E000073,C047,FR,Cybersecurity,Mid,Full-time,Software Engineer,9,8,100,59295.65
E000074,C013,US,Gaming,Mid,Full-time,Software Engineer,17,6,50,209594.0
E000075,C069,NL,FinTech,Mid,Full-time,Senior Software Engineer,16,7,100,142991.3
E000076,C048,US,Consulting,Startup,Contract,Software Engineer,17,5,100,143948.0
E000077,C034,IN,Gaming,Large,Full-time,Engineering Manager,17,3,50,117421.47
